id,name,address,latitude,longitude,free_bikes,empty_slots,total_capacity
6671c205995d3ab44ec15081850c63cd,270- Dikke Mee,Eglantierlaan,51.18645,4.40427,16,20,36
66efed4f054fcd95d121faebbd5a21eb,302- Rozenkrans,Rozenkrans,51.17904,4.39048,14,16,30
6708bace5283ce2ea7dd3396b78ceffc,294- Den Tir,Eugeen Laermansstraat,51.19102,4.37669,17,19,36
670e2836abf87ddc702ad790abaf8f10,001- Centraal Station - Astrid,Koningin Astridplein,51.21782,4.42065,25,7,32
691dde9eab0070cd406da413c200fdc1,254- Sint-Jozef,Boekenberglei,51.19754,4.4596,17,12,29
69975746acf69b86fae8587d23e3cad0,187 - Krijgslaan,Krijgslaan,51.16286,4.3902,11,19,30
69dc3aff7ece47fdf65f0ca088961d26,095- Quinten Matsijslei,Quinten Mathijslei n° 12,51.21415,4.41632,8,21,29
6ea293d44961c0e6a7c1326a328692f9,059- Het Steen,Ernest Van Dijckkaai ro n° 13 - Zuiderterras,51.2211,4.3968,20,16,36
6fdfcee8284090de4be898a7c807a505,134- MAS,Godefriduskaai - Oostendekaai,51.22827,4.40557,14,22,36
6ff5f0193cd5c5395e93a27c7b8cd512,014- Markgrave,Jan Van Rijswijcklaan,51.19681,4.40569,5,31,36
703e63470bb80d6944ee33be90073f4b,086- Troonplaats,Broederminstraat 59,51.20335,4.39235,6,20,26
70cf466855ae998df6b83263d2f4b312,037- Theater,Tabakvest - Ibis Hotel,51.21559,4.41237,14,16,30
71131387aa459f9a0dc87c74e9ff6a9f,012- Brussel,De Singel/ Brederodestraat,51.19931,4.39014,11,25,36
720b5226e95ede4ce30fe8a7974c681c,331 - Zaatlaan,Zaatlaan,51.1754,4.33873,24,12,36
75702eb9ff78063a1710953432d9b846,079- Nationale Bank,Britselei - Mechelsesteenweg,51.21103,4.40726,0,35,35
75af6b66fdc79d43bfdec154cf7e6a6d,201- P&R Luchtbal,Ekersesteenweg,51.26263,4.41869,18,13,31
779a60c5efae69566378a6e77f0bf93b,135- Loodswezen,Sint-Aldegondiskaai,51.22797,4.40203,23,13,36
77eced5b137d690ed0fec1f83ff2e77c,275- Sneeuwbes,Groenenborgerlaan 17,51.17437,4.40334,6,30,36
796daa047a9b5d20ba6d577e36e0ef45,162 - Regatta 1,Blancefloerlaan,51.21993,4.36874,14,22,36
7a3b23c26be3dd38043c36f83de62edc,109- Kerkstraat,Kerkstraat n° 58,51.21858,4.43051,0,33,33
7a4620a2c4f70c716fe7b0b1b64359df,071- Sint-Michielskaai,Sint-Michielskaai ro n° 26,51.21456,4.39205,6,24,30
7b97ca37fe669bb28a96bc285bd3c65c,047- Militair Hospitaal,Boomgaardstraat/Marialei,51.20141,4.42371,1,35,36
7c4f1f69d876d25f7d71f592cc00fce5,236- Districtshuis Deurne,Maurice Dequeeckerplein,51.21916,4.46007,7,26,33
7cc97751ec977d34fc265b65aa88732c,093- Sint Vincentius,sint vincentius,51.20541,4.41356,3,27,30
7e78903b7b17c654b5b76f9ee06ae645,243- Mestputteke,Herentalsebaan,51.20954,4.45816,20,16,36
80aaae43d2c56ab69f1a55fc784ff327,103- Oude Kerk Berchem,Uitbreidingsstraat 184,51.19256,4.42146,22,14,36
81304c323bd15611c59874af1fa0522b,268- ZNA Middelheim,Lindendreef,51.18296,4.41849,14,22,36
8130787cce6e7a71d4c8ba505d5969e9,221-Havenhuis,Mexicostraat,51.24048,4.40799,14,22,36
828841632d36eb7b6078c89e29d7c309,321 - Monnikenplein,Monnikenplein,51.17508,4.43003,4,31,35
835a8096e5db49b5cce6aa0ed6e6660f,291- Braem blokken,Maurits Sabbelaan,51.1885,4.3727,21,15,36
85ee0622640af9eef2620ec6f227ba20,276- Corbusier,Kruishofstraat,51.18351,4.39388,7,29,36
8668428a462e90f518525ec26e1c9307,116- Loosplaats,Van Eycklei ro n° 48,51.2101,4.41722,0,18,18
872933972121218320c0fa807ac76429,259- Posthofbrug,Posthofbrug,51.19332,4.43703,15,20,35
8742b2a9d8bd0d1d8d9befd7f6377c14,170-Quellin,Quellinstraat 6-8,51.21736,4.41654,20,1,21
8813b4490c2b24778e4955667dbc0def,111- Van Der Meyden,Plantin en Moretuslei,51.21018,4.42776,0,30,30
883066b15a885b451c67145b483214f2,153- Beatrijslaan,Beatrijslaan,51.21853,4.38571,6,29,35
8884b71afe21f2a8dacd898c38b6fd17,031- Wezenberg,Karel Oomsstraat - Binnensingel,51.19312,4.40803,27,8,35
899205df37c5282a70f1caf2d9a2ef83,324 - Dordrechlaan,Dordrechtlaan,51.2043,4.46131,8,15,23
8a65354e4a5c263918b5f4ea75b1aa77,327 - Ridderveld,Ridderveld,51.17721,4.37488,9,18,27
8ada453e8e90af099f45737052d88835,215- Nieuwdreef,Nieuwdreef,51.24671,4.44015,12,24,36
8b7d3761cee84d31d345af09e1e51100,122- Schijnpoort,Pothoekstraat ro n° 124,51.22462,4.4366,9,12,21
8c50415dacbbf4b8458d0744777847b9,124- Park Spoor Noord 1,Ellermansstraat – Fuggerstraat,51.22996,4.41961,6,24,30
8db06025b0010745e60a9ba913a63b6a,128- ZNA Cadix,Kempenstraat,51.23177,4.41729,7,23,30
8dd308dda9c59d018ff09d050fa9c0f0,226- Noordschippersdok,Noordschippersdok 41,51.2339,4.42974,5,31,36
8e1c97b70813df9b1b47e1d73c1c28cd,015- Schone Kunsten,Beeldhouwersstraat - Admiraal De Boisotstraat,51.20782,4.39439,7,26,33
8e1e8e770f7ff5543d32e93e80ff7a88,220- 't Dokske,Sint-Bartholomeusstraat,51.24315,4.4474,11,19,30
8fa269470fcc3d90cd08cb2939f82457,334 - Den Haas,August van de Wielelei,51.21979,4.48317,15,21,36
905cf18912f5f2e54322bb6e442a3c0b,233- Gallifort,Gallifortlei,51.2251,4.46617,14,22,36
90eaa6d7da61bfb3f9fb6cc6dbd187fb,332 - Valkstraat,Michel Geysemansstraat,51.16751,4.38542,18,17,35
912b9caa1031f913542ea88408300890,138- Amsterdamstraat,Amsterdamstraat,51.2312,4.40355,15,9,24
91d61d90f024535e8012c2f51d787f72,114- ZNA Stuivenberg,Pesthofstraat ro n° 5,51.22199,4.43384,10,26,36
92e775115a2b2e9904e899cf8e31320e,140- Jachthaven LO,Goethestraat/Thoneth,51.23142,4.39163,8,28,36
9326677581e93c5fdea47cc410fdb023,244- Waterbaan,Herentalsebaan,51.20764,4.46532,5,31,36
9326a23d306fa791c6cd6d7133c83282,151- Van Cauwelaert,Blancefloerlaan/Halewijnlaan,51.22031,4.37841,15,15,30
93c1f1bc8964a9d4d33ae8daa10936c7,212- Rode Loop,Rodeloopstraat,51.25091,4.44231,14,22,36
93e4a30d0903d9db9f18262b17a0e11a,211- Cultuurcentrum,Rodeloopstraat,51.25131,4.43732,17,19,36
941ae02d4cdeac47d1cb734910d5c02d,008- NMBS Berchem 2,Ryckaertplein,51.20109,4.43396,26,4,30
944b8a22e2a427095c6fc000286f45e2,160- Vlinderpaleis,Brusselstraat,51.20338,4.3888,12,24,36
956397d3ea9af512caf2fe356e47664e,061- Victor Jacobslei,Statiestraat - Victor Jacobslei,51.19781,4.42541,2,31,33
9587fd8065ee4d9a484e4bfb13e16e5f,074- Vismijn,Scheldestraat - Kronenburgstraat,51.21233,4.39402,2,26,28
96ca89d8ac353ccf1583dd35da75ac9a,004- De Keyserlei,De Keyserlei,51.21736,4.42009,1,19,20
97ddc06d57fbcce999103e21b268b0db,129- Godefriduskaai,Godefriduskaai Qpark,51.22808,4.40888,17,18,35
986f605721eb02cd48ed40e3c1343231,010- NMBS Zuid,Desguinlei - Montignystraat,51.19847,4.39072,4,31,35
9a69a32d1d2ce3fd345b5123402618e3,039- Koxplein,Betogingstraat tov3,51.21106,4.4341,3,33,36
9a900c0be6ac8f1d8540f8a7749fef27,287- Kioskplaats/Centrum,Berkenrodelei,51.17774,4.35,14,22,36
9b035bd926222b0f61137720e4d5136a,224- Indiestraat,Indiestraat,51.23439,4.40958,0,36,36
9b8e9301367dda36c482e1065a22726f,229- Jozef Nellens,Jozef Nellenslei,51.22616,4.45199,6,29,35
9c1f018a7b16edfcf6799b5e44ecb0eb,214- Kerkhofblommen,Kerkhofblommenstraat,51.2481,4.43234,18,18,36
9d2e57320ca151e15eab08464e148bb5,269- Middelheim,Elisabethlaan,51.18309,4.42431,19,11,30
9db7ec7fff8d0ec9bc5a7b8b35a8f465,028- Keizerstraat,Keizerstraat ro n° 56,51.22149,4.40866,0,23,23
9dbc4eb321019e292c6e8aea07af2d90,119- Ploeg,Provinciestraat (plein),51.21537,4.42537,0,24,24
9ee0bcdeca56985092a70005a92df3b2,205- Kinepolis,Groenendaallaan,51.24478,4.41434,19,17,36
9f789cb8f373fdbb01a13623c43bb8fa,264- Filip Williotstraat,Filip Williotstraat,51.18765,4.4351,28,8,36
9fae63fc0d57410165dc4b5c1513842d,158- Zuidervelodroom,Zuidervelodroom,51.20193,4.39839,0,36,36
